Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
28.0000000000,0.9489341890,16.3612244900,0.0000000000,1934.4468820000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
29.0000000000,1.0181808430,17.0183673500,0.0000000000,1990.1738640000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
30.0000000000,1.2011458900,18.1448979600,0.0000000000,1957.7708010000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
31.0000000000,1.4855407980,20.1163265300,0.0000000000,1501.5548440000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
32.0000000000,1.8896554750,20.1163265300,0.0000000000,1118.8090250000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
33.0000000000,2.2440224780,20.0224489800,2.6633771900,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
34.0000000000,2.4381769050,20.2102040800,18.6436403300,915.2809597000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
35.0000000000,2.5997963960,20.2102040800,45.2774122400,1788.9224780000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
36.0000000000,2.6964998970,19.9285714300,85.9796910400,2029.0448860000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
37.0000000000,2.6660533530,21.0551020400,132.7225275000,1957.7708010000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
38.0000000000,2.6188557130,20.9612244900,76.7243883300,2038.7626410000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
39.0000000000,2.5303079290,19.3653061200,159.7662005000,1980.4561080000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
40.0000000000,2.4820551020,19.3653061200,54.5365674900,1841.1512060000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
41.0000000000,2.5941467480,19.2714285700,0.0000000000,1788.9224780000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
42.0000000000,2.8509968760,19.2714285700,0.0000000000,1279.6932300000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
43.0000000000,2.8333664580,19.1775510200,0.0000000000,1757.1987850000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
44.0000000000,2.6048305180,19.1775510200,0.0000000000,1864.4751250000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
45.0000000000,2.2782720920,19.1775510200,0.0000000000,1957.7708010000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
46.0000000000,2.0805783920,19.0836734700,0.0000000000,1630.3040110000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
47.0000000000,1.9133092530,17.8632653100,0.0000000000,1725.4750910000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
48.0000000000,1.4610076980,17.2061224500,0.0000000000,1817.8272870000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
49.0000000000,1.0251714580,16.7367346900,0.0000000000,1911.1229630000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
50.0000000000,0.8292583850,17.3000000000,0.0000000000,1817.8272870000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
51.0000000000,0.6847856850,18.0510204100,0.0000000000,1501.5548440000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
52.0000000000,0.6050091430,17.5816326500,0.0000000000,1169.6910420000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
53.0000000000,0.6271680720,17.4877551000,0.0000000000,573.6481642000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
54.0000000000,0.6733984570,17.3938775500,0.0000000000,966.1629761000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
55.0000000000,0.8038239800,17.3938775500,0.0000000000,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
56.0000000000,1.0556180020,19.2714285700,0.0000000000,1067.9270090000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
57.0000000000,1.3265592740,20.3979591800,10.6535087600,1067.9270090000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
58.0000000000,1.6243858340,20.5857142900,42.6140350400,1279.6932300000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
59.0000000000,1.7969968580,20.7734693900,69.2478069500,1390.6240370000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
60.0000000000,2.0121231280,23.4959183700,63.9210525700,1662.0277050000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
61.0000000000,2.0701804020,22.2755102000,63.9210525700,1817.8272870000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
62.0000000000,2.0330290230,21.7122449000,71.9111841400,1757.1987850000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
63.0000000000,1.9235313780,20.4918367300,50.6041666200,1725.4750910000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
64.0000000000,1.8746190590,20.7734693900,15.9802631400,1501.5548440000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
65.0000000000,2.0454934210,20.6795918400,0.0000000000,1067.9270090000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
66.0000000000,2.3063444660,21.0551020400,0.0000000000,1067.9270090000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
67.0000000000,2.2986064270,21.5244898000,0.0000000000,653.7098459000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
68.0000000000,2.1173780420,21.7122449000,0.0000000000,472.8833720000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
69.0000000000,1.7715624520,21.6183673500,0.0000000000,653.7098459000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
70.0000000000,1.6029303630,20.0224489800,0.0000000000,773.8023685000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
71.0000000000,1.5666802890,19.0836734700,0.0000000000,773.8023685000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
72.0000000000,1.3811212410,18.3326530600,0.0000000000,653.7098459000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
73.0000000000,1.1496175870,18.3326530600,0.0000000000,1067.9270090000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
74.0000000000,0.8102210510,18.4265306100,0.0000000000,1067.9270090000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
75.0000000000,0.6458316940,18.5204081600,0.0000000000,864.3989433000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
76.0000000000,0.5788053300,17.6755102000,0.0000000000,1335.1586340000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
77.0000000000,0.5891813360,18.1448979600,0.0000000000,1224.2278270000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
78.0000000000,0.5358504220,18.4265306100,0.0000000000,1279.6932300000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
79.0000000000,0.4640097660,19.6469387800,0.0000000000,1224.2278270000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
80.0000000000,0.6897538570,20.4918367300,0.0000000000,1446.0894400000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
81.0000000000,0.9516600890,21.4306122400,13.3168859500,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
82.0000000000,1.2079386570,23.4020408200,52.4413887500,1118.8090250000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
83.0000000000,1.4760221310,22.5571428600,207.3642763000,1224.2278270000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
84.0000000000,1.8005581140,21.3367346900,107.1966742000,1788.9224780000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
85.0000000000,1.8117474940,19.9285714300,146.1723759000,1817.8272870000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
86.0000000000,1.6297277190,19.0836734700,130.9705252000,1446.0894400000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
87.0000000000,1.5290233000,18.8959183700,37.2872806600,1169.6910420000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
88.0000000000,1.5218788040,20.3040816300,13.3168859500,1279.6932300000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
89.0000000000,1.6992601520,20.3040816300,0.0000000000,1118.8090250000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
90.0000000000,2.0128265870,21.8061224500,0.0000000000,864.3989433000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
91.0000000000,2.0699825550,22.1816326500,0.0000000000,613.6790050000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
92.0000000000,1.9307857890,22.1816326500,0.0000000000,503.0511033000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
93.0000000000,1.7278821020,21.3367346900,0.0000000000,412.5479093000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
94.0000000000,1.6117016060,20.3040816300,0.0000000000,773.8023685000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
95.0000000000,1.6230009010,19.3653061200,0.0000000000,279.6931761000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
96.0000000000,1.3783293910,18.2387755100,0.0000000000,442.7156407000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
